id,smiles,KRAS G12D SPR KD  (nM),KRAS G12D binding IC50 (nM),pERK IC50 (nM)
337,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3ccccc3cc3O)c3Cl)c3F)c3n2)CCC1,,2.2,1620.7
338,N#CC[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2cc(O)cc3ccccc23)c2F)c2nc(OCC2(CCC3)N3CCC2)n1,,33.1,>16666.7
339,N#CC[C@H](C1)[C@@H](C2)N[C@H]1CN2c1c(cnc(-c2cc(O)cc3ccccc23)c2F)c2nc(OC[C@](CCC2)(C3)N2C[C@@H]3F)n1,21.6,21,8659.5
340,Oc(cc1)cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1OC(F)(F)F,,0.4,51.5
341,Oc(cc1)cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1OC(F)(F)F,,0.7,837.3
342,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc(Cl)c3C3CC3)c3F)c3n2)C1,,3.4,1001.2
343,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C(F)(F)F)ccc4c3cn[nH]4)c3F)c3n2)C1,,10.4,1616.5
344,FC(c(ccc1c2cn[nH]1)c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)(F)F,,10.9,8069.6
345,FC(Oc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1)(F)F,,10.6,1468.2
346,FC(Oc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1)F,,10.5,1351.5
347,FC[C@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,2.1,458.9
348,CC(C)c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,15.5,778.6
349,Fc(c1n2)c(-c(c3ccccc3cc3)c3Cl)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,560.7,
350,Oc(c(F)c(c(F)c1)-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1F,,3822.1,
351,CO[C@H]1CN[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,94.8,>16666.7
352,FC1(CN[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1)F,,844.8,
353,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1NC(c1ccc(C=O)cc1)=O,,333.4,
354,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1NC(c1cc(C=O)ccc1)=O,,368.1,
355,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C[C@H]1NC(c1c(C=O)cccc1)=O,,869.9,
356,CN1C[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,87.2,11920.1
357,CN1C[C@@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,438,
358,CN(CC1)C[C@@H]1Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,1980.6,
359,CN(CC1)C[C@H]1Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,1637.1,
360,COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3cc(O)c2)c2F)c2n1,,50.8,8353.4
361,COc(cc1)cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1OC(F)(F)F,,2700.3,
362,CC(C)(C)c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,105.8,10457
363,CC(COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)NC,,3932.5,
364,CC(C)c1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cc(O)cc2ccc1,,2.3,322
365,Cc(ccc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,34.9,3949
366,Oc1cc2cccc(F)c2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1,,0.5,7
367,Oc1cc2cccc(F)c2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1,,0.7,111.8
368,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C4CC4)cccc3)c3F)c3n2)C1,,207.6,
369,Oc1cccc(F)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,221.4,
370,FC(c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F)(F)F,,86.1,10730.6
371,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C4CCC4)cccc3)c3F)c3n2)C1,,394.2,
372,CSc1cccc2cc(O)cc(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)c12,,0.7,10.5
373,Oc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c(C(F)(F)F)cc1,,1.6,>16666.7
374,CC(C)COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,347.9,
375,Oc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c(C(F)(F)F)cc1,,1.7,1310.3
376,Cc1cc([nH]nc2)c2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1Cl,,2.6,582.3
377,Cc1cccc(O)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,416.9,
378,CN(CCc1ccc2)Cc1c2Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1,,6250,
379,N#C[C@@H]1[C@](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)(CCC2)N2CC1,,248.7,
380,Nc(cc1)c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c(F)c1Cl,,65.7,>16666.7
381,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cccc2ccc1F,,0.7,708.4
382,FC([C@@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1)(F)F,,21.1,>16666.7
383,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CC(F)(F)F)cccc3)c3F)c3n2)C1,,585.9,
384,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@@]3(CCC4)N4[C@@H](CF)CC3)c2F)c1,,2.4,398.2
385,COc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1,,3083.3,>16666.7
386,Oc(cc1)cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c1SC(F)(F)F,,2,320.3
387,CC(C)(COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)N,,532.8,
388,CO[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4cccc(F)c34)c3F)c3n2)C1,,0.6,40.2
389,COC[C@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CC1,,1.4,780.7
390,COC(C(F)(F)F)c(ccc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,36.8,6108.7
391,Cc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c(cn[nH]2)c2c1,,661.7,
392,Oc1cccc(OC(F)(F)F)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,208.2,
393,Oc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCC(F)(F)F)c2F)c2c(Cl)cccc2c1,,76.3,7579.3
394,CC(C)c1cccc(C(C)C)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,2500,
395,O[C@H](C1)C(C2)NC1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OC[C@](CCC2)(C3)N2C[C@@H]3F)n1,2.6,6.9,1089.1
396,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(C(C4)F)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,34.8,206.8,8173.3
397,CO[C@H](C1)C(C2)NC1CN2c1c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OC[C@](CCC2)(C3)N2C[C@@H]3F)n1,183.2,886.9,>16666.7
398,CN(CC1)CCC1(COc1nc(N2CC(CC3)NC3C2)c(cnc(-c2c3c(Cl)cccc3ccc2)c2F)c2n1)F,,593.2,
399,CC(C)c(ccc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,2.7,509.9
400,Oc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4C(CF)CC3)c2F)c2c(Cl)cccc2c1,,4.2,260.6
401,Cc(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)c(cn[nH]1)c1c1)c1Cl,,2.8,603.5
402,CC(C)(c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)O,,8017.6,
403,CC(C)c(ccc(O)c1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,1.9,2881
404,COC1(CN(CCC2)C2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1)OC,,60.8,8331.6
405,CN(C)C(OC[C@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1)=O,,2.2,297
406,CO[C@@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4cccc(F)c34)c3F)c3n2)C1,,0.9,440.3
407,CC(C)(c(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)F,,560,
408,CNC(OC[C@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1)=O,,3.1,238
409,N#Cc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,2231.4,
410,CO[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4cccc(C#C)c34)c3F)c3n2)C1,,1,8
411,COC(NC[C@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1)=O,,17,745.3
412,CN(C)C(NC[C@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1)=O,,17.7,4779.3
413,CC(NC[C@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1)=O,,9.2,2156.3
414,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(cccc3)c3Cl)c3F)c3n2)C1,,873.2,
415,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C(F)(F)F)ccnc3)c3F)c3n2)C1,,2578.3,
416,CC(C)Oc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,1946.5,
417,CC(C)Cc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,594.7,
418,Fc(c1n2)c(-c3c4c(Cl)cccc4ccc3)ncc1c(N1CC(CC3)NC3C1)nc2OC[C@@]1(CCC2)N2[C@H](Cn2nccc2)CC1,,7.5,2741.5
419,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cccc4cccc(C(F)(F)F)c34)c3F)c3n2)C1,,50.9,2776.1
420,CS(NC[C@@H]1N(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1)(=O)=O,,20,7816.4
421,CC(C)c(nccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,7746.7,
422,FC(c1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1)(F)F,,11.4,2357.8
423,COCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@](CCC4)(C5)N4C[C@@H]5F)c3F)cccc2ccc1,,238,
424,Oc1cc(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)c(CC(F)(F)F)cc1,,5,680.9
425,FC(C1)CN(C2)C1(COc1nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n1)CC2F,,90.2,5414.1
426,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)cccc2ccc1F,,0.9,228
427,CCn(ccc1ccc2)c1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,35.3,1981.7
428,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CCC4)c4ccc3)c3F)c3n2)C1,,92.1,6964.4
429,CC(CCc1ccc2)c1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,18.5,1696
430,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4F)cccc3ccc4F)c3F)c3n2)C1,,1,141
431,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@]4(CCC5)N5[C@@H](COC(N5CCOCC5)=O)CC4)c3F)cccc2ccc1,,1.4,74.3
432,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@]4(CCC5)N5[C@@H](COC(NC)=O)CC4)c3F)cccc2ccc1,,1.9,106.3
433,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@]4(CCC5)N5[C@@H](COC(NC)=O)CC4)c3F)cc(O)cc2ccc1,,0.9,43.2
434,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@]4(CCC5)N5[C@@H](COC(N(C)C)=O)CC4)c3F)cc(O)cc2ccc1,,0.7,6.7
435,CNC(O[C@@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1)=O,,28.2,1822.4
436,O=C(N1CCOCC1)O[C@@H]1CN(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)C1,,48.3,3989.5
437,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C(CC4)C5CC5)c4ccc3)c3F)c3n2)C1,,233.7,
438,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CC4C5C4)c5ccc3)c3F)c3n2)C1,,20.1,1630.8
439,CN(C)C(OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4C#C)cccc3ccc4F)c3F)c3n2)CC1)=O,,0.4,12.8
440,CN(C)C(OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c(c3c4C#C)cc(O)cc3ccc4F)c3F)c3n2)CC1)=O,,0.8,8.4
441,CCc1c2c(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OC[C@]4(CCC5)N5[C@@H](COC(N(C)C)=O)CC4)c3F)cc(O)cc2ccc1F,,0.5,4.1
442,O=C1OCCN1C[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,25,1162
443,O=C(N1CCCC1)OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,3.2,160
444,O=C(N1CCCCC1)OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,5.5,365
445,O=C(N1CCOCC1)OC[C@@H]1N(CCC2)[C@@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CC1,,2.7,130
446,Cn1c2cccc(-c(ncc(c3n4)c(N5CC(CC6)NC6C5)nc4OCC4(CCC5)N5CCC4)c3F)c2cc1,,357,
447,CCCc(cccc1)c1-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,297,
448,F[C@H]1CN(CCC2)[C@]2(COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(C4CC4)cccc3)c3F)c3n2)C1,,130,
449,CCc1c2c(-c(ncc3c(N4CC(CC5)NC5C4)ncnc33)c3F)cccc2ccc1,,71,
450,CC(C1(CCC2)N2CCC1)Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cccc3cccc(F)c23)c2F)c2n1,,37,
451,C[C@@H](C1)[C@H]1c(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)cc(O)c1)c1Cl,,1,78.3
452,C[C@H](C1)[C@@H]1c(c(-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F)cc(O)c1)c1Cl,,1,13.7
453,Nc1nc(c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)ccc2)c2s1,,27,
454,Fc(c1n2)c(-c3cccc4c3ncs4)ncc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,295,
455,Nc(sc1c(cc2)F)nc1c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,17,
456,Cc(c(C)c1-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)cc2c1nc(N)s2,,966,
457,Cc(c(C)c1-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@](CCC3)(C4)N3C[C@@H]4F)c2F)cc2c1nc(N)s2,,475,
458,Cc(ccc1c2nc(N)s1)c2-c(ncc(c1n2)c(N3CC(CC4)NC4C3)nc2OCC2(CCC3)N3CCC2)c1F,,143,
459,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC6)CC5)=NC4=C3F)=C12,,5.41,58.3
460,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CC(C5)N6)=NC(OCC5(CN6CCOC7(CC7)C6)CC5)=NC4=C3F)=C12,,26,
461,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CC(C5)N6)=NC(OCC5(CN6CCC7(CC6)CC7(F)F)CC5)=NC4=C3F)=C12,,37.1,95.5
462,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCCC7(C6)CC7(F)F)CC5)=NC4=C3F)=C12,,55.5,
463,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCOC7(CCC7)C6)CC5)=NC4=C3F)=C12,,66.2,
464,C#CC1=C(F)C=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4C5CCC4COC5)CC1)=N3)=CC(O)=C2,,6.27,3.53
465,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4CC5CCC(C4)O5)CC1)=N3)=CC(O)=C2,,16.8,21.2
466,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4CC5CC4CO5)CC1)=N3)=CC(O)=C2,,7.77,2.59
467,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4C5CCC4COC5)CC1)=N3)=CC(O)=C2,,12.1,6.18
468,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCO7)CC6)CC5)=NC4=C3F)=C12,,31.6,9.49
469,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CC6)COC7)CC5)=NC4=C3F)=C12,,14.2,1.94
470,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7CC6CO7)CC5)=NC4=C3F)=C12,,12,
471,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(C6)CC7(F)F)CC5)=NC4=C3F)=C12,,4.36,182
472,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7=C(C6)N=CC=C7)CC5)=NC4=C3F)=C12,,6.06,68.9
473,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7=C(C=CC=C7)C6)CC5)=NC4=C3F)=C12,,27.3,
474,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7=C(C6)N=CC=C7)CC5)=NC4=C3F)=C12,,1.99,56.3
475,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6(CC(O)C6)C5)CC4)=NC3=C1F)=CC(O)=C2,,0.975,
476,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(COC7)C6)CC5)=NC4=C3F)=C12,,2.27,19.8
477,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6(CCC6)C5)CC4)=NC3=C1F)=CC(O)=C2,,1.33,39.2
478,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC(OC)C5)CC4)=NC3=C1F)=CC(O)=C2,,1.94,13.5
479,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(CCOCC7)C6)CC5)=NC4=C3F)=C12,,1.39,6.95
480,C#CC1=CC=CC2=C1C(C1=CC=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CC5=CC=CC=N5)CC4)=NC3=C1F)=CC(O)=C2,,>100,
481,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7COCC7C6)CC5)=NC4=C3F)=C12,,1.26,2.48
482,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6CCCC6C5)CC4)=NC3=C1F)=CC(O)=C2,,1.48,14.7
483,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(O)C6)CC5)NC4=C3F)=C12,,2.58,56.3
484,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(C)(OC)C6)CC5)=NC4=C3F)=C12,,9.61,19.3
485,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CC6)CC7)CC5)=NC4=C3F)=C12,,1.76,26.2
486,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(C)(O)C6)CC5)=NC4=C3F)=C12,,3.5,25
